adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/smaFFzbd1flJKUqDI2ylljQ8Pki.jpg,"[35, 18]",19625,hi,मुन्ना भाई एम बी बी एस,A gangster sets out to fulfill his father's dream of becoming a doctor.,2.221,/nZNUTxGsSB4nLEC9Bpa2xfu81qV.jpg,2003-12-19,Munna Bhai M.B.B.S.,False,7.189,318
False,/27dhih2lFlBl0oIUE9jFwIEBIMg.jpg,"[18, 10749]",14752,hi,दिल चाहता है,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",1.9584,/d5yjk7hbv8AK0DR0oJUrSGHMn9A.jpg,2001-07-24,Dil Chahta Hai,False,6.839,305
False,/2NArMoObkAbnIPvqlHC3gRGsfBb.jpg,"[80, 18, 53]",11423,ko,살인의 추억,"During the late 1980s, two detectives in a South Korean province attempt to solve the nation's first series of rape-and-murder cases.",6.2247,/jcgUjx1QcupGzjntTVlnQ15lHqy.jpg,2003-04-25,Memories of Murder,False,8.062,4160
False,/p3WiF8qYS7Qp17YRYgrFh7gf9P9.jpg,"[28, 80]",24,en,Kill Bill: Vol. 1,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",9.7761,/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg,2003-10-10,Kill Bill: Vol. 1,False,7.971,18078
False,/eCynaAOgYYiw5yN5lBwz3IxqvaW.jpg,"[16, 10751]",12,en,Finding Nemo,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",13.3835,/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg,2003-05-30,Finding Nemo,False,7.817,19856
False,/Ag6qhzsJd3k1NKuNrG9RmhZDMh7.jpg,"[18, 80]",640,en,Catch Me If You Can,"A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",12.4963,/ctjEj2xM32OvBXCq8zAdK3ZrsAj.jpg,2002-12-16,Catch Me If You Can,False,7.979,16283
False,/tJTRLtdKPeVT8HORSbeHpdb8BKg.jpg,"[18, 53]",55,es,Amores perros,"A fatalistic car crash in Mexico city sets off a chain of events in the lives of three people: a supermodel, a young man wanting to run off with his sister-in-law, and a homeless man. Their lives are catapulted into unforeseen situations instigated by the seemingly inconsequential destiny of a dog.",3.0377,/n3QrQvLM7lZ9AGExvG89OREkCXW.jpg,2000-06-16,Amores Perros,False,7.628,2732
False,/c7VbRPlev1bRfKvTxr98erw5T7B.jpg,"[16, 35, 10751]",585,en,"Monsters, Inc.","Lovable Sulley and his wisecracking sidekick Mike Wazowski are the top scare team at Monsters, Inc., the scream-processing factory in Monstropolis. When a little girl named Boo wanders into their world, it's the monsters who are scared silly, and it's up to Sulley and Mike to keep her out of sight and get her back home.",15.456,/wFSpyMsp7H0ttERbxY7Trlv8xry.jpg,2001-11-01,"Monsters, Inc.",False,7.846,19051
False,/76VwduxQMkVXOUktps85dE0lLeP.jpg,"[12, 18, 36]",19666,hi,लगान,"In 1890s India, an arrogant British commander challenges the harshly taxed residents of Champaner to a high-stakes cricket match.",3.5062,/yNX9lFRAFeNLNRIXdqZK9gYrYKa.jpg,2001-06-15,Lagaan: Once Upon a Time in India,False,7.249,597
False,/xLMJCCSatxENpHO9rLW9yD8A12C.jpg,"[16, 878, 28, 18]",18491,ja,新世紀エヴァンゲリオン劇場版 Air／まごころを、君に,"SEELE orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can advance his own plans for the Human Instrumentality Project. Shinji is pushed to the limits of his sanity as he is forced to decide the fate of humanity.",5.8798,/j6G24dqI4WgUtChhWjfnI4lnmiK.jpg,1997-07-19,Neon Genesis Evangelion: The End of Evangelion,False,8.269,1714
